%Temperature time series for the Gulf of Maine from OISST and four climate indicators
%produced by Andrew J. Pershing, Gulf of Maine Research Institute
%year,NW Atlantic SST-AVHRROI, 40.3-45.2N,  70.9-65.4W,AVHRR Q1,AVHRR Q2,AVHRR Q3,AVHRR Q4,Cod Region Q1,Cod Region Q2,Cod Region Q3,Cod Region Q4,Cod Region Annual,GSI Q1,GSI Q2,GSI Q3,GSI Q4,PDO Q1,PDO Q2,PDO Q3,PDO Q4,AMO Q1,AMO Q2,AMO Q3,AMO Q4,NAO Q1,NAO Q2,NAO Q3,NAO Q4
1981,-3.713468007172e-01,               NaN,               NaN,-4.227736812351e-01,-3.319055812370e-01,               NaN,               NaN,-4.521894785290e-01,-3.955224686809e-02,-3.955224686809e-02,-1.002050284548e-01,-2.251019231253e-01,-3.357503388971e-01,-5.545306501781e-01,7.125327453982e-01,1.278540794485e+00,2.230122705120e-01,2.872618328408e-01,-6.060958752984e-01,-4.156333355994e-01,-4.219296179035e-01,-5.557256168656e-01,3.333333333333e-02,3.666666666667e-02,-3.366666666667e-01,-5.833333333333e-01
1982,-1.054990608680e-01,1.209440046355e-01,-9.330657783945e-02,-8.420368634137e-01,4.545455611356e-01,4.064623052124e-01,-1.252059636487e-01,-9.780709864404e-01,6.232539321232e-01,6.232539321232e-01,-5.721383664499e-01,-1.803556009365e-01,2.858602221807e-01,7.150931360577e-01,5.787559781207e-03,-6.917791169317e-01,3.362138803294e-01,-1.012950441002e-01,-4.124851944473e-01,-9.130396376233e-01,-1.363223822366e+00,-1.874796759575e+00,4.700000000000e-01,-6.866666666667e-01,1.056666666667e+00,8.800000000000e-01
1983,4.338844887197e-01,1.266115224460e+00,6.456772273768e-01,-6.854443760713e-01,5.714329211603e-01,1.162895094629e+00,5.835013132178e-01,-5.630260406724e-01,5.847624244921e-01,5.847624244921e-01,8.437382928432e-01,6.294245135750e-01,2.813006739337e-01,8.307364887041e-02,9.481144739372e-01,1.627324132842e+00,1.700752204075e+00,9.052814323846e-01,-5.384108405293e-01,-1.023932909704e-01,-6.470217102751e-01,-5.950773812662e-01,6.700000000000e-01,2.333333333333e-02,5.600000000000e-01,-1.333333333333e-02
1984,2.752323019904e-01,5.033902720334e-01,-1.301860031446e-01,1.530507211820e-01,5.969481831053e-01,6.153091384890e-01,-2.024577101737e-01,-9.361646075491e-02,8.773877925768e-01,8.773877925768e-01,1.754509057415e-01,2.830212708302e-01,3.889512597415e-01,4.656733223163e-01,1.153101172796e+00,7.002947335260e-01,-7.681902035584e-02,4.279989693706e-01,-5.352626993773e-01,-1.053131918889e+00,-1.134983588843e+00,-1.742574831188e+00,6.700000000000e-01,-5.333333333333e-02,4.166666666667e-01,-4.333333333333e-02
1985,5.962884324226e-02,5.654397211960e-01,-1.177605463127e-02,-3.364352263631e-01,1.055715152117e-01,8.372900886998e-01,-3.617993649538e-01,-6.614725919185e-01,1.330431538695e-01,1.330431538695e-01,5.863123753622e-01,8.000028370102e-01,1.088090359087e+00,1.243642297923e+00,6.329856682292e-01,-1.043545470682e-01,4.922485316994e-01,-2.420321806299e-01,-1.670167584691e+00,-1.394705233887e+00,-1.106650318474e+00,-1.412020010223e+00,-6.333333333333e-01,-3.233333333333e-01,7.333333333333e-02,1.500000000000e-01
1986,-1.755777135241e-01,1.285468738184e-01,2.315426212488e-01,-5.688879073701e-01,-4.357031979646e-01,1.611688324342e-01,-5.680491794792e-03,-6.893127511364e-01,-2.805282654579e-01,-2.805282654579e-01,1.150022573362e+00,8.525547939364e-01,3.824003541614e-01,-2.443027418608e-01,1.284659800421e+00,8.838649116084e-01,3.392733832974e-01,1.171458190604e+00,-1.465538409808e+00,-1.314427634510e+00,-1.199520482460e+00,-1.742574831188e+00,6.066666666667e-01,4.933333333333e-01,-6.966666666667e-01,1.610000000000e+00
1987,-6.685904226610e-01,-3.169320539533e-01,-4.475870949512e-01,-8.987777046362e-01,-9.214037365588e-01,-2.516859014207e-01,-5.688672923934e-01,-7.506444180972e-01,-8.148599218463e-01,-8.148599218463e-01,-7.638876237250e-01,-9.293937794464e-01,-9.267063320715e-01,-8.903270067065e-01,1.535539043801e+00,1.232648249965e+00,2.009762003847e+00,1.036840060010e+00,-8.642434497665e-01,4.406610577582e-01,1.155289099274e+00,-7.870352880124e-05,-5.800000000000e-01,3.866666666667e-01,-5.100000000000e-01,2.133333333333e-01
1988,-4.952484123852e-01,-6.827174548128e-01,-2.337034000982e-01,-2.522578778172e-01,-7.553081969258e-01,-6.655198842657e-01,-1.952369311143e-01,-4.277872824564e-01,-5.764353517509e-01,-5.764353517509e-01,-8.678185495506e-01,-7.104337233229e-01,-3.909309516985e-01,-2.210825872030e-01,8.808054086403e-01,6.635806979096e-01,-7.681902035584e-02,-3.858288201278e-01,-2.991521129735e-01,5.177905159834e-01,-3.470825620135e-02,-8.028546973015e-01,5.366666666667e-01,1.133333333333e-01,-4.333333333333e-01,-2.700000000000e-01
1989,-2.509647365566e-01,-3.492385245377e-01,5.028102578873e-02,-7.424414553243e-02,-5.419663213525e-01,-2.699601309306e-01,2.090857371710e-01,-1.360410352312e-01,-6.561456396796e-01,-6.561456396796e-01,-2.467812745100e-01,-2.301537942935e-01,-9.755349917815e-02,1.292494361982e-01,-1.074216987937e+00,-6.152150551565e-02,7.921563101414e-02,-4.714949032329e-01,-1.037391213129e+00,-5.903551695382e-01,2.612170120913e-01,-7.162808156201e-01,1.673333333333e+00,4.633333333333e-01,1.010000000000e+00,-3.400000000000e-01
1990,1.384067744149e-01,-2.260749131270e-01,-5.330963123650e-02,1.036619077501e+00,-1.512312873511e-01,-1.182046791078e-01,-4.004127507041e-01,6.093525545015e-01,-1.083124850914e-01,-1.083124850914e-01,3.190389167720e-01,5.180189895104e-01,8.555124477690e-01,1.149419667649e+00,-6.978981228677e-01,1.342866844388e-01,1.496606868532e-02,-1.627987025152e+00,-1.051557848313e+00,-4.109111238713e-01,2.344578122989e-01,-9.523126984951e-03,1.303333333333e+00,1.500000000000e-01,8.533333333333e-01,7.000000000000e-02
